,template,clusterID
570,CC_OBSR_rpra_323,0
571,CC_OBSR_rpra_324,0
572,CC_OBSR_rpra_325,2
573,CC_OBSR_rpra_326,3
574,CC_OBSR_rpra_327,3
575,CC_OBSR_rpra_328,1
576,CC_OBSR_rpra_329,0
577,CC_OBSR_rpra_330,2
578,CC_OBSR_rpra_331,0
579,CC_OBSR_rpra_332,4
580,CC_OBSR_rpra_333,1
581,CC_OBSR_rpra_334,3
582,CC_OBSR_rpra_335,3
583,CC_OBSR_rpra_336,2
584,CC_OBSR_rpra_337,2
585,CC_OBSR_rpra_339,3
586,CC_OBSR_rpra_340,2
587,CC_OBSR_rpra_341,0
588,CC_OBSR_rpra_342,3
589,CC_OBSR_rpra_343,3
590,CC_OBSR_rpra_344,3
591,CC_OBSR_rpra_345,0
592,CC_OBSR_rpra_346,2
593,CC_OBSR_rpra_347,1
594,CC_OBSR_rpra_349,1
595,CC_OBSR_rpra_350,1
596,CC_OBSR_rpra_351,0
597,CC_OBSR_rpra_352,3
598,CC_OBSR_rpra_353,3
599,CC_OBSR_rpra_354,0
600,CC_OBSR_rpra_355,3
601,CC_OBSR_rpra_356,1
602,CC_OBSR_rpra_357,1
603,CC_OBSR_rpra_359,2
604,CC_OBSR_rpra_362,0
605,CC_OBSR_rpra_363,2
606,CC_OBSR_rpra_364,2
607,CC_OBSR_rpra_365,2
608,CC_OBSR_rpra_366,0
609,CC_OBSR_rpra_367,1
610,CC_OBSR_rpra_369,0
611,CC_OBSR_rpra_370,3
612,CC_OBSR_rpra_371,0
613,CC_OBSR_rpra_372,3
614,CC_OBSR_rpra_373,4
615,CC_OBSR_rpra_374,4
616,CC_OBSR_rpra_375,1
617,CC_OBSR_rpra_376,0
618,CC_OBSR_rpra_377,0
619,CC_OBSR_rpra_378,4
620,CC_OBSR_rpra_379,1
621,CC_OBSR_rpra_380,0
622,CC_OBSR_rpra_381,3
623,CC_OBSR_rpra_382,3
624,CC_OBSR_rpra_385,1
625,CC_OBSR_rpra_386,0
626,CC_OBSR_rpra_387,3
627,CC_OBSR_rpra_388,0
628,CC_OBSR_rpra_389,5
629,CC_OBSR_rpra_390,0
630,CC_OBSR_rpra_391,1
631,CC_OBSR_rpra_392,5
632,CC_OBSR_rpra_393,3
633,CC_OBSR_rpra_394,3
634,CC_OBSR_rpra_395,1
635,CC_OBSR_rpra_396,0
636,CC_OBSR_rpra_397,3
637,CC_OBSR_rpra_398,3
638,CC_OBSR_rpra_399,3
639,CC_OBSR_rpra_400,1
640,CC_OBSR_rpra_401,3
641,CC_OBSR_rpra_402,2
642,CC_OBSR_rpra_403,1
643,CC_OBSR_rpra_404,2
644,CC_OBSR_rpra_405,1
645,CC_OBSR_rpra_406,3
646,CC_OBSR_rpra_408,3
647,CC_OBSR_rpra_409,1
648,CC_OBSR_rpra_410,3
649,CC_OBSR_rpra_412,3
650,CC_OBSR_rpra_415,4
651,CC_OBSR_rpra_416,3
652,CC_OBSR_rpra_417,3
653,CC_OBSR_rpra_418,0
654,CC_OBSR_rpra_419,3
655,CC_OBSR_rpra_420,0
656,CC_OBSR_rpra_421,3
657,CC_OBSR_rpra_423,5
658,CC_OBSR_rpra_424,5
659,CC_OBSR_rpra_425,0
660,CC_OBSR_rpra_426,1
661,CC_OBSR_rpra_427,1
662,CC_OBSR_rpra_428,0
663,CC_OBSR_rpra_429,0
664,CC_OBSR_rpra_431,3
665,CC_OBSR_rpra_432,5
666,CC_OBSR_rpra_433,3
667,CC_OBSR_rpra_434,2
668,CC_OBSR_rpra_435,0
669,CC_OBSR_rpra_436,3
670,CC_OBSR_rpra_438,0
671,CC_OBSR_rpra_439,2
672,CC_OBSR_rpra_440,2
673,CC_OBSR_rpra_441,4
674,CC_OBSR_rpra_442,3
675,CC_OBSR_rpra_443,1
676,CC_OBSR_rpra_444,1
677,CC_OBSR_rpra_445,1
678,CC_OBSR_rpra_446,3
679,CC_OBSR_rpra_447,3
680,CC_OBSR_rpra_448,3
681,CC_OBSR_rpra_449,1
682,CC_OBSR_rpra_450,3
683,CC_OBSR_rpra_451,0
684,CC_OBSR_rpra_452,0
685,CC_OBSR_rpra_453,0
686,CC_OBSR_rpra_454,2
687,CC_OBSR_rpra_455,3
688,CC_OBSR_rpra_456,3
689,CC_OBSR_rpra_457,0
690,CC_OBSR_rpra_459,3
691,CC_OBSR_rpra_461,2
692,CC_OBSR_rpra_462,3
693,CC_OBSR_rpra_463,0
694,CC_OBSR_rpra_464,1
695,CC_OBSR_rpra_465,2
696,CC_OBSR_rpra_466,1
697,CC_OBSR_rpra_467,3
698,CC_OBSR_rpra_468,0
699,CC_OBSR_rpra_470,0
700,CC_OBSR_rpra_471,0
701,CC_OBSR_rpra_472,1
702,CC_OBSR_rpra_473,2
703,CC_OBSR_rpra_474,0
704,CC_OBSR_rpra_475,3
705,CC_OBSR_rpra_476,2
706,CC_OBSR_rpra_477,0
707,CC_OBSR_rpra_478,0
708,CC_OBSR_rpra_479,3
709,CC_OBSR_rpra_480,0
